time,open,high,low,close,tick_volume,spread,real_volume
2024-10-08 02:13:00,62621.99,62645.28,62610.74,62630.0,56,1,0
2024-10-08 02:14:00,62630.0,62651.99,62612.0,62624.44,54,1,0
2024-10-08 02:15:00,62624.44,62624.44,62594.45,62611.99,30,1,0
2024-10-08 02:16:00,62611.99,62611.99,62536.0,62570.51,72,1,0
2024-10-08 02:17:00,62571.25,62593.99,62571.25,62583.98,41,1,0
2024-10-08 02:18:00,62583.98,62641.07,62583.98,62604.18,47,1,0
2024-10-08 02:19:00,62604.18,62632.97,62582.0,62630.62,39,1,0
2024-10-08 02:20:00,62630.62,62664.99,62619.9,62662.0,43,1,0
2024-10-08 02:21:00,62662.0,62662.0,62612.0,62612.0,27,1,0
2024-10-08 02:22:00,62612.0,62633.99,62612.0,62613.64,35,1,0
2024-10-08 02:23:00,62613.64,62613.64,62584.82,62602.38,33,1,0
2024-10-08 02:24:00,62602.38,62607.72,62590.0,62605.99,23,1,0
2024-10-08 02:25:00,62605.99,62608.58,62594.0,62608.58,16,1,0
2024-10-08 02:26:00,62608.58,62609.99,62576.0,62581.99,30,1,0
2024-10-08 02:27:00,62581.99,62587.95,62569.87,62572.0,14,1,0
2024-10-08 02:28:00,62572.0,62572.0,62554.0,62554.0,12,1,0
2024-10-08 02:29:00,62554.0,62565.99,62552.35,62554.0,22,1,0
2024-10-08 02:30:00,62554.0,62554.0,62533.33,62534.0,28,1,0
2024-10-08 02:31:00,62534.0,62543.99,62510.0,62543.99,33,1,0
2024-10-08 02:32:00,62543.99,62591.17,62533.33,62590.0,36,1,0
2024-10-08 02:33:00,62590.0,62603.01,62572.0,62603.01,17,1,0
2024-10-08 02:34:00,62603.01,62606.91,62542.0,62542.0,36,1,0
2024-10-08 02:35:00,62542.0,62543.99,62460.0,62477.99,54,1,0
2024-10-08 02:36:00,62477.99,62489.99,62449.15,62471.41,38,1,0
2024-10-08 02:37:00,62471.41,62497.05,62471.41,62497.05,24,1,0
2024-10-08 02:38:00,62497.05,62497.99,62480.0,62480.0,14,1,0
2024-10-08 02:39:00,62480.0,62480.0,62439.9,62439.9,22,1,0
2024-10-08 02:40:00,62439.9,62459.99,62436.0,62458.4,17,1,0
2024-10-08 02:41:00,62458.4,62458.4,62415.8,62425.99,39,1,0
2024-10-08 02:42:00,62425.99,62466.0,62400.01,62466.0,38,1,0
2024-10-08 02:43:00,62466.0,62466.0,62460.0,62462.0,12,1,0
2024-10-08 02:44:00,62466.66,62500.0,62462.01,62500.0,26,1,0
2024-10-08 02:45:00,62500.0,62500.0,62466.0,62466.0,23,1,0
2024-10-08 02:46:00,62466.0,62511.95,62466.0,62492.0,23,1,0
2024-10-08 02:47:00,62491.66,62491.66,62462.86,62472.85,25,1,0
2024-10-08 02:48:00,62472.85,62472.85,62430.0,62439.48,24,1,0
2024-10-08 02:49:00,62439.48,62461.99,62410.0,62410.0,32,1,0
2024-10-08 02:50:00,62410.0,62415.99,62400.0,62400.0,31,1,0
2024-10-08 02:51:00,62400.0,62400.0,62300.0,62315.99,55,1,0
2024-10-08 02:52:00,62315.99,62339.99,62312.0,62331.99,46,1,0
2024-10-08 02:53:00,62331.99,62347.99,62317.12,62334.0,37,1,0
2024-10-08 02:54:00,62334.0,62334.0,62300.7,62305.22,23,1,0
2024-10-08 02:55:00,62305.22,62339.99,62300.0,62300.0,41,1,0
2024-10-08 02:56:00,62300.0,62300.0,62222.12,62263.09,32,1,0
2024-10-08 02:57:00,62263.09,62279.99,62224.0,62236.0,56,1,0
2024-10-08 02:58:00,62236.0,62251.99,62224.0,62240.0,24,1,0
2024-10-08 02:59:00,62240.0,62259.99,62224.0,62224.0,31,1,0
2024-10-08 03:00:00,62224.0,62313.99,62221.91,62256.0,77,1,0
2024-10-08 03:01:00,62256.0,62330.22,62238.0,62330.0,39,1,0
2024-10-08 03:02:00,62330.0,62331.99,62284.0,62316.23,68,1,0
2024-10-08 03:03:00,62316.23,62330.46,62310.0,62318.44,35,1,0
2024-10-08 03:04:00,62318.44,62321.48,62300.0,62303.99,37,1,0
2024-10-08 03:05:00,62302.0,62377.35,62300.0,62377.35,54,1,0
2024-10-08 03:06:00,62377.35,62379.99,62322.0,62346.67,51,1,0
2024-10-08 03:07:00,62346.67,62372.46,62334.0,62334.0,43,1,0
2024-10-08 03:08:00,62334.0,62334.0,62190.0,62190.0,62,1,0
2024-10-08 03:09:00,62190.0,62193.09,62156.01,62182.0,34,1,0
2024-10-08 03:10:00,62182.0,62295.44,62182.0,62295.44,59,1,0
2024-10-08 03:11:00,62295.44,62375.99,62295.44,62356.0,74,1,0
2024-10-08 03:12:00,62356.0,62378.9,62312.0,62312.0,46,1,0
2024-10-08 03:13:00,62312.0,62315.99,62282.01,62298.17,35,1,0
2024-10-08 03:14:00,62298.17,62355.41,62298.17,62353.25,49,1,0
2024-10-08 03:15:00,62353.25,62419.99,62346.0,62419.99,31,1,0
2024-10-08 03:16:00,62419.99,62419.99,62336.0,62336.0,45,1,0
2024-10-08 03:17:00,62336.0,62348.0,62260.9,62260.9,59,1,0
2024-10-08 03:18:00,62260.9,62319.99,62256.89,62311.36,52,1,0
2024-10-08 03:19:00,62308.6,62308.6,62279.9,62294.98,44,1,0
2024-10-08 03:20:00,62294.98,62349.99,62285.27,62331.99,62,1,0
2024-10-08 03:21:00,62331.99,62413.99,62331.99,62404.0,43,1,0
2024-10-08 03:22:00,62404.0,62412.61,62386.0,62406.01,36,1,0
2024-10-08 03:23:00,62406.01,62406.01,62372.0,62372.0,21,1,0
2024-10-08 03:24:00,62372.0,62414.61,62372.0,62412.0,16,1,0
2024-10-08 03:25:00,62412.0,62474.65,62392.0,62460.0,66,1,0
2024-10-08 03:26:00,62460.0,62460.0,62424.0,62443.5,33,1,0
2024-10-08 03:27:00,62443.5,62459.99,62420.0,62440.0,32,1,0
2024-10-08 03:28:00,62440.0,62451.99,62430.0,62438.0,29,1,0
2024-10-08 03:29:00,62438.0,62438.0,62364.0,62387.99,41,1,0
2024-10-08 03:30:00,62387.99,62465.98,62387.99,62462.77,44,1,0
2024-10-08 03:31:00,62462.77,62491.99,62460.0,62483.97,47,1,0
2024-10-08 03:32:00,62483.97,62499.99,62470.0,62492.92,26,1,0
2024-10-08 03:33:00,62492.92,62582.59,62490.0,62576.0,44,1,0
2024-10-08 03:34:00,62576.0,62576.0,62538.0,62545.99,42,1,0
2024-10-08 03:35:00,62547.99,62553.99,62464.0,62464.49,46,1,0
2024-10-08 03:36:00,62464.49,62499.99,62460.0,62498.58,21,1,0
2024-10-08 03:37:00,62498.0,62498.0,62482.6,62496.49,30,1,0
2024-10-08 03:38:00,62496.49,62519.99,62496.49,62519.99,19,1,0
2024-10-08 03:39:00,62519.99,62541.03,62502.0,62502.0,30,1,0
2024-10-08 03:40:00,62502.0,62523.99,62499.9,62521.99,24,1,0
2024-10-08 03:41:00,62521.99,62521.99,62500.0,62500.0,9,1,0
2024-10-08 03:42:00,62500.0,62513.99,62482.0,62513.99,19,1,0
2024-10-08 03:43:00,62513.99,62527.61,62510.0,62527.61,11,1,0
2024-10-08 03:44:00,62529.81,62549.99,62529.81,62540.0,15,1,0
2024-10-08 03:45:00,62540.0,62579.96,62540.0,62540.0,35,1,0
2024-10-08 03:46:00,62540.0,62540.0,62520.0,62520.0,11,1,0
2024-10-08 03:47:00,62520.0,62520.0,62488.0,62501.99,30,1,0
2024-10-08 03:48:00,62501.99,62505.9,62474.0,62474.0,20,1,0
2024-10-08 03:49:00,62474.0,62499.99,62472.0,62499.99,14,1,0
2024-10-08 03:50:00,62499.99,62525.99,62499.99,62522.0,21,1,0
2024-10-08 03:51:00,62522.0,62533.33,62508.0,62533.33,18,1,0
2024-10-08 03:52:00,62533.33,62533.33,62472.0,62487.99,40,1,0
2024-10-08 03:53:00,62487.99,62507.7,62480.0,62484.0,27,1,0
2024-10-08 03:54:00,62484.0,62499.99,62470.0,62493.99,32,1,0
2024-10-08 03:55:00,62493.99,62500.77,62492.0,62495.99,13,1,0
2024-10-08 03:56:00,62495.99,62547.67,62495.99,62547.67,29,1,0
2024-10-08 03:57:00,62547.67,62547.67,62526.98,62534.0,21,1,0
2024-10-08 03:58:00,62534.0,62547.99,62534.0,62547.99,7,1,0
2024-10-08 03:59:00,62547.99,62559.99,62547.99,62552.97,13,1,0
2024-10-08 04:00:00,62552.97,62552.97,62534.0,62544.0,30,1,0
2024-10-08 04:01:00,62544.0,62544.0,62508.0,62539.97,39,1,0
2024-10-08 04:02:00,62536.0,62536.0,62502.0,62505.99,23,1,0
2024-10-08 04:03:00,62505.99,62505.99,62490.0,62490.0,21,1,0
2024-10-08 04:04:00,62490.0,62549.99,62490.0,62549.14,27,1,0
2024-10-08 04:05:00,62549.14,62549.14,62482.0,62483.55,26,1,0
2024-10-08 04:06:00,62483.55,62499.99,62470.48,62499.99,29,1,0
2024-10-08 04:07:00,62499.99,62519.99,62499.99,62519.99,18,1,0
2024-10-08 04:08:00,62519.99,62577.97,62519.99,62574.0,41,1,0
2024-10-08 04:09:00,62574.0,62587.89,62573.52,62587.89,15,1,0
2024-10-08 04:10:00,62587.89,62587.89,62540.0,62540.0,24,1,0
2024-10-08 04:11:00,62540.0,62561.99,62540.0,62553.73,14,1,0
2024-10-08 04:12:00,62553.73,62553.99,62543.02,62543.06,10,1,0
2024-10-08 04:13:00,62543.06,62561.99,62543.06,62561.99,14,1,0
2024-10-08 04:14:00,62561.99,62561.99,62530.0,62530.0,19,1,0
2024-10-08 04:15:00,62530.0,62530.0,62488.2,62488.2,27,1,0
2024-10-08 04:16:00,62488.2,62488.2,62415.93,62415.93,38,1,0
2024-10-08 04:17:00,62415.93,62419.99,62407.67,62419.99,13,1,0
2024-10-08 04:18:00,62419.99,62419.99,62390.0,62409.99,28,1,0
2024-10-08 04:19:00,62409.99,62409.99,62359.9,62391.99,43,1,0
2024-10-08 04:20:00,62391.99,62447.2,62391.99,62419.9,37,1,0
2024-10-08 04:21:00,62419.9,62419.99,62375.34,62377.99,34,1,0
2024-10-08 04:22:00,62377.99,62387.99,62370.91,62372.9,24,1,0
2024-10-08 04:23:00,62372.9,62399.99,62372.9,62399.99,25,1,0
2024-10-08 04:24:00,62399.99,62451.99,62399.99,62442.97,27,1,0
2024-10-08 04:25:00,62442.97,62442.97,62380.0,62380.0,31,1,0
2024-10-08 04:26:00,62380.0,62390.57,62374.0,62385.99,29,1,0
2024-10-08 04:27:00,62385.99,62391.99,62376.83,62388.0,25,1,0
2024-10-08 04:28:00,62388.0,62423.99,62384.0,62411.26,33,1,0
2024-10-08 04:29:00,62411.26,62437.99,62411.26,62437.99,19,1,0
2024-10-08 04:30:00,62437.99,62441.99,62384.97,62399.66,37,1,0
2024-10-08 04:31:00,62399.66,62489.22,62312.08,62443.75,64,1,0
2024-10-08 04:32:00,62443.75,62459.53,62438.0,62458.78,26,1,0
2024-10-08 04:33:00,62458.78,62469.99,62446.02,62455.99,25,1,0
2024-10-08 04:34:00,62455.99,62569.99,62455.99,62569.85,21,1,0
2024-10-08 04:35:00,62569.85,62617.99,62569.85,62595.99,40,1,0
2024-10-08 04:36:00,62595.99,62646.99,62595.99,62624.0,31,1,0
2024-10-08 04:37:00,62624.0,62643.06,62608.0,62634.0,34,1,0
2024-10-08 04:38:00,62634.0,62635.99,62599.0,62604.0,47,1,0
2024-10-08 04:39:00,62604.0,62619.99,62599.0,62614.72,33,1,0
2024-10-08 04:40:00,62614.72,62646.99,62602.0,62646.26,28,1,0
